desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx
body[t-1]>=0.3 & chg[t-1]<=0.0 & bull[t-1]>=0.5,open,16,True,3.7778193010448873,0.0020305157500349644,873,46.0,0.00395433543951396,0.9375,1.7594521923926063,0.5783333333333334,0.0,1.396220207485485,0.0813240966711608,0.0,1.0,1.0,16,True,4.648328954473753,0.3119120772259901,977,46.5,0.0008837414941731047,0.625,1.0812911152112703,0.5211704422869472,0.0625,0.26434575825190976,0.3957567519313673,0.0,0.6666666666666666,0.6666666666666666
body[t-1]>=0.3 & gap[t-1]<=-0.2 & chg[t-1]>=-0.5,open,16,True,3.7996802795517985,0.0030389762051271766,1802,119.0,0.002141934953735464,0.9375,1.560912127656351,0.570309152127334,0.125,1.336982704180534,0.09061414128609907,1.0,0.8888888888888888,1.0,21,True,6.436590006893486,0.34003363776357715,1892,114.0,0.000341030901533286,0.5714285714285714,1.1997738483413016,0.5,0.0,0.22830043392016608,0.4097063436230364,0.6666666666666666,0.5555555555555556,0.5
rngrank[t-3]<=0.8 & gap[t-1]<=-0.2 & bull[t-2]<=0.5 & close>prev_high,open,16,True,5.983633168285124,0.0011925770094438851,767,48.0,0.002346427392953325,0.9375,1.622348699985308,0.551948051948052,0.0625,1.8575688444621297,0.031615133141293786,1.0,0.8888888888888888,1.0,15,True,2.877582791191211,0.3017051830490557,766,46.0,0.0007466982664115973,0.5333333333333333,0.9295024343250697,0.5263157894736842,0.06666666666666667,0.22753904489767898,0.41000230594820763,,0.3333333333333333,0.8333333333333334
clspos[t-3]<=0.7 & gap[t-1]<=-0.2 & gap[t-2]<=0.0 & close>prev_close,open,16,True,9.830662947097458,0.0020546550547157444,879,50.0,0.003071859404748128,0.9375,1.8124965629929077,0.5826558265582655,0.125,2.2493643230419744,0.012244663254607404,1.0,1.0,0.8333333333333334,16,True,6.294740680441842,0.3683101751821386,962,57.5,0.00016508519890743104,0.5625,1.183739736144033,0.5503718728870859,0.125,0.21095868680298638,0.41645975449401434,1.0,0.4444444444444444,0.6666666666666666
rngrank[t-3]<=0.3 & gap[t-2]<=-0.2 & chg[t-2]>=-0.5,strict,16,True,6.19949014018761,0.003249934112161378,807,50.0,0.004955374198160847,0.9375,1.884002267777376,0.6243042671614101,0.0625,1.6940115002328158,0.04513154887807424,1.0,1.0,0.8333333333333334,21,True,4.925474245302038,0.33740223977460587,894,50.0,6.462976897492895e-05,0.5714285714285714,0.9718394756454346,0.5121951219512195,0.047619047619047616,0.20319447979851427,0.4194915136606106,0.5,0.4444444444444444,0.8333333333333334
rngrank[t-2]<=0.5 & gap[t-2]<=0.0 & gap[t-3]<=-0.2,strict,17,True,5.5280619300833616,0.0006330560528060347,1209,66.0,0.0023800121282425736,0.9411764705882353,1.6890581947022372,0.6046511627906976,0.11764705882352941,1.8382166662703583,0.033015242447405474,0.5,1.0,1.0,20,True,6.820954401959523,0.36902787972048223,1492,72.0,-0.0010656339622966227,0.45,1.0027035082617728,0.5365384615384616,0.0,0.19530424235458724,0.4225773880524534,0.4,0.2222222222222222,0.8333333333333334
upper[t-3]<=0.2 & rngrank[t-2]<=0.3 & gap[t-1]<=-0.2,open,16,True,3.7635269665602014,0.00030253911114060003,927,60.5,0.003928196647431353,0.9375,1.7318421420273098,0.6111111111111112,0.1875,1.6632078526189615,0.04813541815420193,0.0,1.0,1.0,21,True,4.965822659130785,0.4039988616930682,1123,59.0,-0.0003196610072701911,0.47619047619047616,0.9619272845047844,0.45454545454545453,0.047619047619047616,0.11817073408408986,0.45296618913463804,0.3333333333333333,0.2222222222222222,1.0
lower[t-2]>=0.2 & rngrank[t-1]<=0.5 & gap[t-2]<=-0.2,open,16,True,5.123531721907375,3.9885565042156166e-05,1697,102.0,0.00376371808894247,0.9375,1.5952470185841632,0.5762650163815071,0.1875,2.2324475745024093,0.012792698242963786,1.0,0.8888888888888888,1.0,20,True,4.825807322505191,0.4057032561203404,1663,91.5,0.0005871067861558273,0.6,1.0167233376663791,0.5109092351634402,0.05,0.11720932036182535,0.4533470906249677,0.4,0.5555555555555556,0.8333333333333334
rngrank[t-1]<=0.8 & gap[t-2]<=-0.2 & chg[t-1]<=0.0,strict,17,True,5.165962040191139,0.00010663570977003281,1949,110.0,0.00338639965230428,0.9411764705882353,1.870930786228119,0.5797101449275363,0.058823529411764705,2.0411552481867172,0.02061769915694422,0.5,1.0,1.0,21,True,6.574492511720733,0.44359452790881027,2348,125.0,0.00021990447862642662,0.5714285714285714,0.9944242287927392,0.5185185185185185,0.0,0.07937566413365855,0.4683669123817819,0.3333333333333333,0.5555555555555556,0.8333333333333334
clspos[t-1]>=0.5 & rngrank[t-2]<=0.3 & gap[t-2]<=-0.2,strict,16,True,3.8500772379082067,0.006008478942541115,870,49.0,0.0030099944172522334,1.0,1.6132003405900228,0.5782013685239492,0.0625,1.2320636702305947,0.10896265051856197,1.0,1.0,1.0,17,True,3.2141993420353145,0.4474542981823013,939,53.0,0.0008240265807652244,0.5294117647058824,0.9832101525186864,0.5084745762711864,0.058823529411764705,0.057438174215030224,0.47709807727799747,1.0,0.4444444444444444,0.5
