desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx
opnpos[t-1]<=0.7 & rngrank[t-3]<=0.5 & gap[t-2]<=-0.2 & close<prev_low,strict,16,True,4.666903939411136,9.961652676241075e-06,512,27.5,0.006930995841914105,1.0,1.8385706902371761,0.5941176470588235,0.125,2.3038260965581,0.010616203788896758,1.0,1.0,1.0,16,True,3.6544904842533357,0.03022291043803511,557,32.5,0.003190716695210819,0.5625,1.4007563444827376,0.5411352040816326,0.0625,0.8973043058441906,0.18477827974442562,0.0,0.6666666666666666,0.5
gap[t-1]>=0.2 & gap[t-3]<=0.2 & chg[t-3]<=-0.5 & close>high3,open,15,True,3.417677783930585,0.0017895692178003279,407,23.0,0.004122013330123686,1.0,1.9607016803162378,0.6086956521739131,0.13333333333333333,1.3904914253500524,0.0821898506541604,,1.0,1.0,15,True,6.341901061181997,0.08415074136828399,489,36.0,0.004528358102465185,0.6666666666666666,1.8026892461870343,0.5909090909090909,0.13333333333333333,0.8958042003584027,0.18517867307584246,,0.7777777777777778,0.5
body[t-2]>=0.3 & lower[t-3]>=0.35 & chg[t-3]>=0.5 & close<prev_low,strict,16,True,6.120334278046531,2.500593386694387e-06,279,14.5,0.009624589632710841,1.0,2.7265956490314935,0.7036363636363636,0.25,2.823211602056772,0.0023772590041970915,1.0,1.0,1.0,17,True,5.666813550568675,0.06347621100612837,303,19.0,0.0038685437293483112,0.7058823529411765,1.0324914207986013,0.5,0.058823529411764705,0.88118112186391,0.1891098976963425,1.0,0.7142857142857143,0.5
rngrank[t-1]<=0.5 & gap[t-2]<=-0.2 & bull[t-2]<=0.5 & close<prev_low,strict,16,True,5.17262526802772,7.816282864941503e-06,432,18.5,0.006094590053159597,1.0,1.991475173215055,0.5550595238095238,0.25,2.4560496887491663,0.007023686638749875,1.0,1.0,1.0,15,True,3.6134489860713055,0.037055049050125854,446,24.0,0.0009364423744820967,0.6,1.0301664043904464,0.5,0.26666666666666666,0.8765577016512359,0.19036346117642794,,0.6666666666666666,0.5
gap[t-2]<=-0.2 & gap[t-3]>=-0.2 & chg[t-1]>=-0.5 & close<prev_low,strict,16,True,2.435211303158807,5.766860721606608e-06,729,42.0,0.004098174866813442,1.0,1.7029268927471315,0.5788177339901477,0.25,1.7111922018940207,0.043522818880820685,1.0,1.0,1.0,17,True,4.209030411899599,0.0509108722520727,742,42.0,0.0021201980662897395,0.5882352941176471,1.3456569034303405,0.5128205128205128,0.17647058823529413,0.8140901561080403,0.2077966523815405,0.5,0.7777777777777778,0.3333333333333333
body[t-2]>=0.3 & gap[t-2]<=-0.2 & chg[t-1]>=-0.5 & close<prev_low,strict,16,True,3.0117757415326127,5.1791275889622596e-05,745,40.5,0.005038107716100457,1.0,1.6842289059681863,0.5703125,0.1875,1.684269819658928,0.04606476763110119,1.0,1.0,1.0,16,True,3.2491603414381673,0.038332584861290125,782,43.0,0.0014115733872564061,0.625,1.3508519946175874,0.5380747126436781,0.1875,0.7977928579669785,0.21249535328885377,0.0,0.7777777777777778,0.5
gap[t-1]>=0.0 & gap[t-3]>=0.2 & chg[t-2]<=0.0 & close<prev_low,open,15,True,2.5000336984169866,3.1852323989713735e-08,541,35.0,0.003981492459234599,1.0,1.860986559067242,0.6153846153846154,0.4,2.20785351692863,0.01362724301495395,,1.0,1.0,16,True,3.7296722246834317,0.059536916639988155,447,26.0,0.0006337912897437833,0.5625,1.2004458510125993,0.5310150375939849,0.1875,0.7525412486227434,0.22586281692486476,0.0,0.7777777777777778,0.3333333333333333
rngrank[t-1]<=0.8 & gap[t-3]<=-0.2 & chg[t-2]>=-0.5 & close<prev_low,strict,16,True,3.555812946001363,6.140802848586912e-06,825,46.0,0.004619457613482619,1.0,1.823512463271764,0.5916666666666667,0.125,2.061304074720629,0.01963701986195541,1.0,1.0,1.0,17,True,3.85244752621297,0.05953358146712615,1098,60.0,0.004038192505500697,0.7058823529411765,1.3400602203886884,0.5111111111111111,0.11764705882352941,0.7420048119984,0.22904221005189213,1.0,0.7777777777777778,0.5
opnpos[t-2]>=0.7 & gap[t-1]>=0.2 & gap[t-2]<=0.0 & close<prev_low,open,15,True,5.435347344957368,4.7371070907334247e-07,300,16.0,0.011061311683521056,1.0,1.8721781189748385,0.5714285714285714,0.26666666666666666,2.9509648046694403,0.0015839150583136102,,1.0,1.0,15,True,4.253805795705169,0.08193051594749251,289,16.0,0.003282725355667469,0.6,1.4091980282613663,0.5714285714285714,0.13333333333333333,0.7413881919923784,0.22922905097378699,,0.6666666666666666,0.5
upper[t-2]>=0.2 & upper[t-2]<=0.5 & gap[t-3]>=0.2 & close<prev_low,strict,16,True,3.5516728623057032,7.050940923521245e-06,682,43.0,0.005268761994139588,1.0,1.622766396753362,0.5923255813953487,0.3125,2.0458472110461345,0.02038570271473472,1.0,1.0,1.0,16,True,3.7210074068864887,0.06734030084591947,699,38.5,0.0016186022179258143,0.5625,1.2435728767021312,0.513986013986014,0.125,0.721392880446842,0.2353339128608658,0.0,0.7777777777777778,0.3333333333333333
opnpos[t-3]<=0.5 & rngrank[t-3]<=0.8 & gap[t-2]<=-0.2 & close<prev_low,open,15,True,2.569867355052087,0.0005688636816204435,658,33.0,0.0034546746989277573,1.0,1.7570691942136636,0.5961538461538461,0.2,1.3468951375094953,0.08900700390448008,,1.0,1.0,16,True,2.494874121394949,0.04356126889896413,784,49.0,0.003862425886614361,0.625,1.428049671872551,0.5238095238095237,0.125,0.6755498251210894,0.24966325348947666,0.0,0.8888888888888888,0.3333333333333333
upper[t-2]<=0.2 & gap[t-1]>=0.2 & gap[t-2]<=0.2 & close<prev_low,open,15,True,4.6270000791685595,1.8316080419866136e-06,511,32.0,0.006233452948297384,1.0,2.0256101437462095,0.5806451612903226,0.2,2.5712855302177755,0.005066087557469357,,1.0,1.0,15,True,2.7660054752323924,0.07131908798030519,542,35.0,0.0007204584129982053,0.7333333333333333,1.3639723543632984,0.5111111111111111,0.13333333333333333,0.6295436581990834,0.2644965980237144,,0.6666666666666666,0.8333333333333334
rngrank[t-3]<=0.5 & gap[t-2]<=-0.2 & chg[t-3]>=0.0 & close<prev_low,strict,16,True,3.591278940230956,0.00019079689215062298,498,26.0,0.0028288474577863178,1.0,1.5130216689925646,0.6193181818181819,0.1875,1.6830548240382925,0.04618223938636958,1.0,1.0,1.0,16,True,3.174040612524852,0.08992093249585315,522,33.5,0.002472633352483224,0.625,1.2560782770712742,0.513157894736842,0.0,0.5973837736392583,0.2751255923434574,0.0,0.7777777777777778,0.5
