desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx,OOS_reason
lower[t-3]>=0.35 & opnpos[t-1]>=0.5 & gap[t-3]>=0.2 & close>prev_close,open,16,True,4.728131229189619,0.0006837763577754657,630,37.5,0.006389139197263584,0.9375,1.5478935063409949,0.542997542997543,0.0625,1.7403095386972827,0.04090234001514032,1.0,1.0,0.8333333333333334,16,True,5.196059498976347,0.22567775852749478,601.0,38.5,0.0001772411057857819,0.5625,1.1980644529909907,0.5826086956521739,0.125,0.4292028916370895,0.33388778940883856,0.0,0.4444444444444444,0.8333333333333334,
body[t-3]<=0.7 & gap[t-3]>=0.2 & bull[t-3]>=0.5 & close>prev_high,open,15,True,6.240764888839379,0.01077762554327882,913,57.0,0.000869807991918734,1.0,1.4370689125709386,0.5769230769230769,0.06666666666666667,1.4823304078118613,0.0691262005721695,,1.0,1.0,15,True,4.271297732407111,0.21500020457541652,855.0,55.0,0.000814357195626606,0.7333333333333333,1.4944961985254208,0.6,0.0,0.42113020408983215,0.33683000353434656,,0.7777777777777778,0.6666666666666666,
body[t-1]<=0.3 & clspos[t-3]>=0.5 & gap[t-2]<=-0.2 & close>prev_close,strict,16,True,3.773687897092151,0.00041317998838422793,542,35.5,0.005248023145726434,1.0,1.5862342238081353,0.5598290598290598,0.125,1.6239203617166196,0.05219640314349154,1.0,1.0,1.0,16,True,5.441547727197341,0.28387304807560176,546.0,35.5,0.0006231745936720466,0.5625,1.2328614498684167,0.48749218261413385,0.0625,0.33321286765169955,0.36948680282219015,0.0,0.4444444444444444,0.8333333333333334,
lower[t-1]>=0.35 & gap[t-2]>=0.2 & gap[t-3]<=0.2 & close<prev_low,strict,16,True,5.630063002536853,0.0005504504191378749,355,23.5,0.007627151014610863,0.9375,2.034232203933876,0.56,0.125,1.935819543721185,0.026444903205263427,1.0,1.0,0.8333333333333334,15,True,6.157857507100846,0.3113706362029526,379.0,24.0,0.0014551479803210838,0.5333333333333333,1.238936290285133,0.5357142857142857,0.0,0.3152150236933428,0.3762991996691292,,0.4444444444444444,0.6666666666666666,
upper[t-3]<=0.35 & rngrank[t-2]<=0.8 & gap[t-3]<=-0.2,strict,17,True,4.853397515426395,0.005457864413290039,3138,173.0,0.002457766280748994,0.9411764705882353,1.2797516082264428,0.5641025641025641,0.0,1.3600408865987752,0.08690849285342783,1.0,1.0,0.8333333333333334,22,True,13.814315705232229,0.3841327869699547,3503.0,191.0,-0.0006322930094010014,0.4090909090909091,1.1084246303977277,0.4944933920704846,0.09090909090909091,0.23348096268719198,0.40769397533642626,0.42857142857142855,0.3333333333333333,0.5,
rngrank[t-3]<=0.5 & gap[t-2]<=0.0 & gap[t-3]>=0.2 & close>high3,open,15,True,4.057174895897382,0.00016295510169129582,342,21.0,0.007711191902327878,1.0,2.0132155969461505,0.631578947368421,0.13333333333333333,1.8690382578323363,0.030808745946483206,,1.0,1.0,15,True,4.435467753672847,0.3359825308859038,321.0,20.0,0.0004468240339479011,0.5333333333333333,1.4681343634385335,0.5,0.0,0.23026551686421207,0.40894272711747226,,0.5555555555555556,0.5,
clspos[t-1]>=0.3 & gap[t-3]>=0.2 & chg[t-1]<=0.0 & close>prev_close,strict,16,True,4.308341108202673,0.0001346651404009058,875,55.0,0.0062397405061018815,1.0,1.5747822362757953,0.5801435406698565,0.125,1.890475851340482,0.029347173648316727,1.0,1.0,1.0,15,True,4.290010987346661,0.3337782304246046,953.0,62.0,-3.2189232115935155e-05,0.4666666666666667,1.2850853655963643,0.5483870967741935,0.0,0.22969461680609063,0.4091645391234371,,0.4444444444444444,0.5,
clspos[t-3]<=0.5 & opnpos[t-1]>=0.5 & chg[t-3]>=0.0 & close>high3,strict,15,True,14.314008142523468,0.0019391446187322745,169,10.0,0.008368083423612995,1.0,1.963023951690616,0.6153846153846154,0.06666666666666667,2.8210867859100173,0.0023930626442855174,1.0,1.0,1.0,15,True,7.753598716983187,0.4061390680096258,193.0,12.0,-0.0005466775150789272,0.4666666666666667,1.5081727482537959,0.55,0.0,0.17074496925292565,0.4322121508251175,0.0,0.5714285714285714,0.5,
clspos[t-2]>=0.3 & opnpos[t-2]>=0.7 & gap[t-2]>=0.0,strict,30,True,11.059521260705756,6.679028840132962e-06,4482,131.0,0.0036604576120464823,0.9666666666666667,0.958593585900969,0.43798300772812365,0.13333333333333333,2.6436960290879856,0.004100313229691562,0.9333333333333333,1.0,1.0,30,True,11.27215696883293,0.4261020503808336,4199.0,119.5,-0.0001626629457728391,0.5,0.9675409623777533,0.4183091487545589,0.06666666666666667,0.11420150158838267,0.4545390308014898,0.5333333333333333,0.5555555555555556,0.3333333333333333,
gap[t-1]<=-0.2 & gap[t-2]<=-0.2 & bull[t-1]>=0.5,open,15,True,3.122363605286514,0.005803866286266265,850,48.0,0.0027898213704976335,1.0,1.593495815779686,0.5425531914893617,0.06666666666666667,1.1514887818464037,0.12476560388196839,,1.0,1.0,16,True,6.417656868215712,0.4428066768936665,1011.0,56.5,0.0007637805135050165,0.625,1.2006079234108609,0.5176020408163265,0.0625,0.09110860528569242,0.4637031475272926,1.0,0.6666666666666666,0.5,
